Timer/Row,Node2,Node3,Node4,Node5,Node6,Node7
120,72.213,72.213,47.651,54.724,54.724,47.651
150,92.939,92.939,75.264,73.752,73.752,75.264
180,109.019,109.019,79.541,89.813,89.813,79.541
210,124.894,124.894,103.383,91.997,91.997,103.383
240,128.794,128.794,109.967,105.373,105.373,109.967
270,152.596,152.596,132.572,130.357,130.357,132.572
30,10.972,10.972,8.532,8.868,8.868,8.532
300,161.423,161.423,133.629,140.467,140.467,133.629
60,32.132,32.132,21.059,18.280,18.280,21.059
90,49.445,49.445,33.546,33.202,33.202,33.546
